Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,20455-040E-76,IPEX_20455-040E-76,131.84,-57.62,0.0,top
J2,47272-0001,MOLEX_47272-0001,125.75,-74.9825,0.0,top
