Comment,Designator,Footprint,LCSC,Quantity
1uF,"C1,C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,2
20455-040E-76,"J3,J6",IPEX_20455-040E-76,C5160883,2
47272-0001,"J1,J4",MOLEX_47272-0001,C587824,2
