Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.680035,-106.38,-90.0,top
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.430035,-106.48,90.0,top
J1,47272-0001,MOLEX_47272-0001,118.29,-124.2,0.0,top
J3,20455-040E-76,IPEX_20455-040E-76,110.18,-101.25,180.0,top
J4,47272-0001,MOLEX_47272-0001,142.025678,-117.446196,0.0,top
J6,20455-040E-76,IPEX_20455-040E-76,148.115678,-100.083696,0.0,top
